,count_id,type,volume,xing_leg
0,5,Ped,0,SL
1,5,Sch,0,SL
2,5,Ped,9,NL
3,5,Sch,0,NL
4,5,Ped,0,WL
5,5,Sch,0,WL
6,5,Ped,0,EL
7,5,Sch,0,EL
8,19,Ped,142,SL
9,19,Sch,148,SL
10,19,Ped,289,NL
11,19,Sch,238,NL
12,19,Ped,103,WL
13,19,Sch,90,WL
14,19,Ped,2,EL
15,19,Sch,0,EL
16,24,Ped,111,SL
17,24,Sch,59,SL
18,24,Ped,88,NL
19,24,Sch,64,NL
20,24,Ped,15,WL
21,24,Sch,6,WL
22,24,Ped,0,EL
23,24,Sch,2,EL
24,33,Ped,27,SL
25,33,Sch,0,SL
26,33,Ped,69,NL
27,33,Sch,0,NL
28,33,Ped,35,WL
29,33,Sch,0,WL
30,33,Ped,2,EL
31,33,Sch,0,EL
32,48,Ped,65,SL
33,48,Sch,16,SL
34,48,Ped,76,NL
35,48,Sch,21,NL
36,48,Ped,73,WL
37,48,Sch,41,WL
38,48,Ped,71,EL
39,48,Sch,39,EL
40,68,Ped,2,SL
41,68,Sch,0,SL
42,68,Ped,0,NL
43,68,Sch,0,NL
44,68,Ped,29,WL
45,68,Sch,1,WL
46,68,Ped,113,EL
47,68,Sch,5,EL
48,81,Ped,0,SL
49,81,Sch,0,SL
50,81,Ped,0,NL
51,81,Sch,0,NL
52,81,Ped,0,WL
53,81,Sch,0,WL
54,81,Ped,0,EL
55,81,Sch,0,EL
56,82,Ped,0,SL
57,82,Sch,0,SL
58,82,Ped,0,NL
59,82,Sch,0,NL
60,82,Ped,0,WL
61,82,Sch,0,WL
62,82,Ped,0,EL
63,82,Sch,0,EL
64,83,Ped,0,SL
65,83,Sch,0,SL
66,83,Ped,0,NL
67,83,Sch,0,NL
68,83,Ped,0,WL
69,83,Sch,0,WL
70,83,Ped,0,EL
71,83,Sch,0,EL
72,84,Ped,0,SL
73,84,Sch,0,SL
74,84,Ped,0,NL
75,84,Sch,0,NL
76,84,Ped,0,WL
77,84,Sch,0,WL
78,84,Ped,0,EL
79,84,Sch,0,EL
80,89,Ped,9,SL
81,89,Sch,0,SL
82,89,Ped,65,NL
83,89,Sch,0,NL
84,89,Ped,72,WL
85,89,Sch,0,WL
86,89,Ped,73,EL
87,89,Sch,3,EL
88,114,Ped,20,SL
89,114,Sch,6,SL
90,114,Ped,22,NL
91,114,Sch,4,NL
92,114,Ped,33,WL
93,114,Sch,10,WL
94,114,Ped,20,EL
95,114,Sch,3,EL
96,115,Ped,96,SL
97,115,Sch,52,SL
98,115,Ped,127,NL
99,115,Sch,56,NL
100,115,Ped,167,WL
101,115,Sch,8,WL
102,115,Ped,341,EL
103,115,Sch,8,EL
104,120,Ped,225,SL
105,120,Sch,41,SL
106,120,Ped,239,NL
107,120,Sch,41,NL
108,120,Ped,233,WL
109,120,Sch,36,WL
110,120,Ped,266,EL
111,120,Sch,36,EL
112,130,Ped,0,SL
113,130,Sch,0,SL
114,130,Ped,0,NL
115,130,Sch,0,NL
116,130,Ped,14,WL
117,130,Sch,1,WL
118,130,Ped,22,EL
119,130,Sch,5,EL
120,158,Ped,0,SL
121,158,Sch,0,SL
122,158,Ped,0,NL
123,158,Sch,0,NL
124,158,Ped,19,WL
125,158,Sch,8,WL
126,158,Ped,13,EL
127,158,Sch,2,EL
128,159,Ped,0,SL
129,159,Sch,0,SL
130,159,Ped,0,NL
131,159,Sch,0,NL
132,159,Ped,30,WL
133,159,Sch,15,WL
134,159,Ped,16,EL
135,159,Sch,4,EL
136,166,Ped,917,SL
137,166,Sch,49,SL
138,166,Ped,318,NL
139,166,Sch,56,NL
140,166,Ped,481,WL
141,166,Sch,40,WL
142,166,Ped,283,EL
143,166,Sch,27,EL
144,177,Ped,376,SL
145,177,Sch,0,SL
146,177,Ped,341,NL
147,177,Sch,0,NL
148,177,Ped,366,WL
149,177,Sch,76,WL
150,177,Ped,446,EL
151,177,Sch,76,EL
152,178,Ped,748,SL
153,178,Sch,122,SL
154,178,Ped,865,NL
155,178,Sch,46,NL
156,178,Ped,1989,WL
157,178,Sch,169,WL
158,178,Ped,2284,EL
159,178,Sch,175,EL
160,180,Ped,47,SL
161,180,Sch,0,SL
162,180,Ped,87,NL
163,180,Sch,0,NL
164,180,Ped,18,WL
165,180,Sch,1,WL
166,180,Ped,42,EL
167,180,Sch,0,EL
168,188,Ped,0,SL
169,188,Sch,0,SL
170,188,Ped,0,NL
171,188,Sch,0,NL
172,188,Ped,0,WL
173,188,Sch,0,WL
174,188,Ped,9,EL
175,188,Sch,2,EL
176,189,Ped,79,SL
177,189,Sch,48,SL
178,189,Ped,0,NL
179,189,Sch,0,NL
180,189,Ped,1,WL
181,189,Sch,0,WL
182,189,Ped,26,EL
183,189,Sch,18,EL
184,214,Ped,40,SL
185,214,Sch,0,SL
186,214,Ped,130,NL
187,214,Sch,0,NL
188,214,Ped,54,WL
189,214,Sch,3,WL
190,214,Ped,1,EL
191,214,Sch,0,EL
192,221,Ped,3,SL
193,221,Sch,0,SL
194,221,Ped,52,NL
195,221,Sch,0,NL
196,221,Ped,66,WL
197,221,Sch,1,WL
198,221,Ped,53,EL
199,221,Sch,0,EL
200,253,Ped,21,SL
201,253,Sch,0,SL
202,253,Ped,15,NL
203,253,Sch,0,NL
204,253,Ped,232,WL
205,253,Sch,0,WL
206,253,Ped,168,EL
207,253,Sch,19,EL
208,256,Ped,17,SL
209,256,Sch,1,SL
210,256,Ped,27,NL
211,256,Sch,0,NL
212,256,Ped,0,WL
213,256,Sch,0,WL
214,256,Ped,26,EL
215,256,Sch,0,EL
216,257,Ped,7,SL
217,257,Sch,0,SL
218,257,Ped,3,NL
219,257,Sch,1,NL
220,257,Ped,104,WL
221,257,Sch,7,WL
222,257,Ped,0,EL
223,257,Sch,0,EL
224,264,Ped,22,SL
225,264,Sch,14,SL
226,264,Ped,22,NL
227,264,Sch,14,NL
228,264,Ped,21,WL
229,264,Sch,21,WL
230,264,Ped,2,EL
231,264,Sch,0,EL
232,270,Ped,630,SL
233,270,Sch,1,SL
234,270,Ped,778,NL
235,270,Sch,63,NL
236,270,Ped,2,WL
237,270,Sch,0,WL
238,270,Ped,300,EL
239,270,Sch,10,EL
240,280,Ped,174,SL
241,280,Sch,94,SL
242,280,Ped,18,NL
243,280,Sch,0,NL
244,280,Ped,150,WL
245,280,Sch,26,WL
246,280,Ped,137,EL
247,280,Sch,91,EL
248,289,Ped,303,SL
249,289,Sch,2,SL
250,289,Ped,1,NL
251,289,Sch,0,NL
252,289,Ped,50,WL
253,289,Sch,1,WL
254,289,Ped,177,EL
255,289,Sch,0,EL
256,292,Ped,782,SL
257,292,Sch,6,SL
258,292,Ped,939,NL
259,292,Sch,13,NL
260,292,Ped,733,WL
261,292,Sch,152,WL
262,292,Ped,372,EL
263,292,Sch,15,EL
264,293,Ped,782,SL
265,293,Sch,6,SL
266,293,Ped,939,NL
267,293,Sch,13,NL
268,293,Ped,733,WL
269,293,Sch,152,WL
270,293,Ped,372,EL
271,293,Sch,15,EL
272,308,Ped,159,SL
273,308,Sch,14,SL
274,308,Ped,135,NL
275,308,Sch,6,NL
276,308,Ped,22,WL
277,308,Sch,0,WL
278,308,Ped,0,EL
279,308,Sch,0,EL
280,315,Ped,308,SL
281,315,Sch,6,SL
282,315,Ped,350,NL
283,315,Sch,19,NL
284,315,Ped,325,WL
285,315,Sch,14,WL
286,315,Ped,400,EL
287,315,Sch,5,EL
288,316,Ped,412,SL
289,316,Sch,104,SL
290,316,Ped,634,NL
291,316,Sch,84,NL
292,316,Ped,236,WL
293,316,Sch,42,WL
294,316,Ped,593,EL
295,316,Sch,66,EL
296,331,Ped,196,SL
297,331,Sch,0,SL
298,331,Ped,286,NL
299,331,Sch,23,NL
300,331,Ped,207,WL
301,331,Sch,14,WL
302,331,Ped,556,EL
303,331,Sch,29,EL
304,341,Ped,109,SL
305,341,Sch,11,SL
306,341,Ped,15,NL
307,341,Sch,0,NL
308,341,Ped,24,WL
309,341,Sch,1,WL
310,341,Ped,32,EL
311,341,Sch,0,EL
312,344,Ped,560,SL
313,344,Sch,11,SL
314,344,Ped,859,NL
315,344,Sch,4,NL
316,344,Ped,359,WL
317,344,Sch,7,WL
318,344,Ped,914,EL
319,344,Sch,0,EL
320,351,Ped,3,SL
321,351,Sch,0,SL
322,351,Ped,149,NL
323,351,Sch,1,NL
324,351,Ped,30,WL
325,351,Sch,0,WL
326,351,Ped,165,EL
327,351,Sch,2,EL
328,355,Ped,0,SL
329,355,Sch,0,SL
330,355,Ped,109,NL
331,355,Sch,17,NL
332,355,Ped,30,WL
333,355,Sch,6,WL
334,355,Ped,4,EL
335,355,Sch,0,EL
336,359,Ped,0,SL
337,359,Sch,0,SL
338,359,Ped,90,NL
339,359,Sch,9,NL
340,359,Ped,91,WL
341,359,Sch,10,WL
342,359,Ped,0,EL
343,359,Sch,0,EL
344,372,Ped,490,SL
345,372,Sch,18,SL
346,372,Ped,315,NL
347,372,Sch,0,NL
348,372,Ped,668,WL
349,372,Sch,14,WL
350,372,Ped,536,EL
351,372,Sch,2,EL
352,382,Ped,171,SL
353,382,Sch,7,SL
354,382,Ped,282,NL
355,382,Sch,26,NL
356,382,Ped,144,WL
357,382,Sch,4,WL
358,382,Ped,7,EL
359,382,Sch,4,EL
360,385,Ped,91,SL
361,385,Sch,14,SL
362,385,Ped,37,NL
363,385,Sch,5,NL
364,385,Ped,6,WL
365,385,Sch,0,WL
366,385,Ped,105,EL
367,385,Sch,16,EL
368,391,Ped,107,SL
369,391,Sch,65,SL
370,391,Ped,154,NL
371,391,Sch,44,NL
372,391,Ped,105,WL
373,391,Sch,72,WL
374,391,Ped,246,EL
375,391,Sch,41,EL
376,392,Ped,205,SL
377,392,Sch,50,SL
378,392,Ped,122,NL
379,392,Sch,55,NL
380,392,Ped,340,WL
381,392,Sch,91,WL
382,392,Ped,161,EL
383,392,Sch,70,EL
384,394,Ped,92,SL
385,394,Sch,9,SL
386,394,Ped,75,NL
387,394,Sch,18,NL
388,394,Ped,1,WL
389,394,Sch,0,WL
390,394,Ped,62,EL
391,394,Sch,6,EL
392,402,Ped,116,SL
393,402,Sch,0,SL
394,402,Ped,70,NL
395,402,Sch,5,NL
396,402,Ped,13,WL
397,402,Sch,7,WL
398,402,Ped,177,EL
399,402,Sch,6,EL
400,424,Ped,301,SL
401,424,Sch,41,SL
402,424,Ped,85,NL
403,424,Sch,7,NL
404,424,Ped,146,WL
405,424,Sch,22,WL
406,424,Ped,120,EL
407,424,Sch,19,EL
408,432,Ped,161,SL
409,432,Sch,0,SL
410,432,Ped,41,NL
411,432,Sch,0,NL
412,432,Ped,26,WL
413,432,Sch,0,WL
414,432,Ped,366,EL
415,432,Sch,0,EL
